dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Digits (Low),0,0,100,1,20,False,True,0.8440791366906475,0.7874172661870503,0.8355323741007191,0.8413381294964029,0.05666187050359717,-0.0058057553956837316
Digits (Low),0,1,39,2,19,False,False,0.7493927125506074,0.7522267206477733,0.7591093117408907,0.7968960863697706,-0.002834008097165941,-0.037786774628879916
Digits (Low),0,2,60,2,20,False,True,0.8612994350282486,0.858728813559322,0.8809039548022599,0.8894915254237289,0.002570621468926615,-0.008587570621468976
Digits (Low),0,3,87,1,20,False,True,0.9121961143322146,0.9074763503204151,0.9166208930932763,0.9288983826670736,0.004719764011799521,-0.012277489573797262
Digits (Low),0,4,106,1,20,False,True,0.8689616393852305,0.8713170061227041,0.9166250156191429,0.911970511058353,-0.0023553667374736076,0.004654504560789863
Digits (Low),0,5,30,2,14,False,False,0.827731092436975,0.7647058823529413,0.8229691876750702,0.7983193277310926,0.06302521008403361,0.024649859943977614
Digits (Low),0,6,52,2,20,False,True,0.8838103756708408,0.8714669051878354,0.8974508050089445,0.888953488372093,0.012343470483005325,0.008497316636851493
Digits (Low),0,7,39,2,19,False,False,0.8394062078272605,0.8286099865047234,0.8511470985155197,0.864102564102564,0.010796221322537103,-0.012955465587044301
Digits (Low),0,8,64,2,20,False,True,0.8230410447761194,0.8464552238805971,0.8583955223880597,0.8567397388059701,-0.02341417910447774,0.0016557835820896205
Digits (Low),0,9,40,3,19,False,False,0.7686602870813397,0.7318181818181818,0.8210526315789473,0.7832535885167464,0.0368421052631579,0.03779904306220083
Digits (Low),0,10,33,3,16,False,False,0.7181372549019607,0.7332887700534759,0.7749554367201426,0.69674688057041,-0.015151515151515249,0.07820855614973254
Digits (Low),0,11,79,2,20,False,True,0.7977945974161554,0.8003262429857757,0.8181782591674278,0.844930184001044,-0.0025316455696202667,-0.026751924833616214
Digits (Low),0,12,53,1,20,False,True,0.9045702306079664,0.9194129979035639,0.9249895178197064,0.9256603773584905,-0.014842767295597525,-0.0006708595387840965
Digits (Low),0,13,54,2,20,False,True,0.8340425531914893,0.8197005516154453,0.8626477541371159,0.84602048857368,0.014342001576044039,0.016627265563435967
Digits (Low),0,14,27,3,13,False,False,0.87993487993488,0.8762718762718763,0.8945868945868946,0.8575498575498576,0.00366300366300365,0.03703703703703698
Digits (Low),0,15,32,3,15,False,False,0.8388888888888888,0.611574074074074,0.8530092592592593,0.6143518518518518,0.22731481481481475,0.23865740740740748
Digits (Low),1,0,100,1,20,False,True,0.8431294964028778,0.8102086330935252,0.8457625899280573,0.8510935251798561,0.03292086330935262,-0.005330935251798841
Digits (Low),1,1,60,2,20,False,True,0.8492937853107344,0.8422316384180791,0.8638135593220341,0.8887853107344632,0.007062146892655274,-0.024971751412429133
Digits (Low),1,2,37,2,18,False,False,0.7885253674727358,0.7243559348822508,0.7899478425794216,0.777619724988146,0.06416943259048502,0.012328117591275611
Digits (Low),1,3,62,2,20,False,True,0.8220942140296977,0.8611623143881207,0.8500000000000002,0.8618535586277521,-0.03906810035842301,-0.011853558627751948
Digits (Low),1,4,39,2,19,False,False,0.8201079622132252,0.7955465587044533,0.8394062078272605,0.831983805668016,0.024561403508771895,0.007422402159244501
Digits (Low),1,5,53,1,20,False,True,0.910607966457023,0.922683438155136,0.9235220125786163,0.9276729559748429,-0.01207547169811296,-0.00415094339622657
Digits (Low),1,6,89,2,20,False,True,0.8619610102756169,0.8337654854508787,0.8807260155574764,0.8326514933256509,0.028195524824738194,0.04807452223182551
Digits (Low),1,7,55,2,20,False,True,0.8390723562152133,0.8162152133580705,0.8578478664192951,0.8261224489795919,0.022857142857142798,0.03172541743970325
Digits (Low),1,8,25,2,12,False,False,0.8066666666666665,0.7487179487179486,0.8123076923076923,0.7625641025641025,0.05794871794871792,0.04974358974358983
Digits (Low),1,9,31,2,15,False,False,0.8333333333333333,0.7120967741935486,0.8494623655913979,0.7755376344086022,0.1212365591397847,0.07392473118279563
Digits (Low),1,10,76,2,20,False,True,0.8115673799884326,0.789010989010989,0.8326055523423944,0.8279930595720069,0.022556390977443663,0.004612492770387555
Digits (Low),1,11,33,2,16,False,False,0.7976827094474153,0.7963458110516936,0.8270944741532976,0.785204991087344,0.0013368983957217084,0.04188948306595364
Digits (Low),1,12,61,2,20,False,True,0.7955925826390756,0.7977694168234346,0.827653856490191,0.820612738511153,-0.002176834184358989,0.0070411179790379474
