dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Digits (Low),4,0,64,2,20,False,True,0.8010727611940298,0.7723414179104477,0.8173973880597015,0.8191464552238805,0.028731343283582067,-0.0017490671641789968
Digits (Low),4,1,27,2,13,False,False,0.827838827838828,0.6878306878306879,0.8380138380138381,0.7228327228327229,0.1400081400081401,0.11518111518111518
Digits (Low),4,2,33,2,16,False,False,0.8025846702317291,0.7798573975044563,0.8248663101604279,0.7729500891265597,0.022727272727272818,0.05191622103386817
Digits (Low),4,3,36,2,17,False,False,0.8591503267973857,0.8405228758169936,0.8880718954248367,0.8712418300653595,0.01862745098039209,0.016830065359477175
Digits (Low),4,4,92,1,20,False,True,0.9050547896783315,0.9010781194768469,0.9154471544715447,0.9134499823259103,0.003976670201484622,0.0019971721456343294
Digits (Low),4,5,86,1,20,False,True,0.9099622878692645,0.8984600879949719,0.920312172637754,0.9120678818353235,0.011502199874292574,0.008244290802430498
Digits (Low),4,6,106,1,20,False,True,0.8710358615519181,0.8671060852180433,0.9108896663751093,0.9128139447707111,0.003929776333874813,-0.0019242783956018306
Digits (Low),4,7,39,2,19,False,False,0.8342780026990553,0.7951417004048582,0.8442645074224021,0.8394062078272605,0.03913630229419707,0.004858299595141613
Digits (Low),4,8,67,2,20,False,True,0.8254344714782254,0.8591903496217542,0.8421590676753219,0.8703741566141894,-0.03375587814352887,-0.028215088938867483
Digits (Low),4,9,73,2,20,False,True,0.8273166800966961,0.8016277195809832,0.8399516518936342,0.8422240128928284,0.0256889605157129,-0.002272360999194256
Digits (Low),4,10,42,3,20,False,True,0.7717391304347826,0.7313664596273292,0.8277432712215322,0.8015527950310557,0.04037267080745344,0.02619047619047654
Digits (Low),4,11,31,3,15,False,False,0.7201612903225807,0.7016129032258066,0.7228494623655916,0.6903225806451615,0.018548387096774088,0.032526881720430056
Digits (Low),4,12,54,1,20,False,True,0.91150512214342,0.9111505122143418,0.9267533490937746,0.9259653270291568,0.000354609929078209,0.0007880220646178104
Digits (Low),4,13,85,2,20,False,True,0.885105234754452,0.8388774959525093,0.8690987587695628,0.8325849973016731,0.04622773880194275,0.03651376146788965
Digits (Low),4,14,26,2,12,False,False,0.8662393162393163,0.8730769230769231,0.8824786324786322,0.8850427350427351,-0.006837606837606813,-0.002564102564102888
Digits (Low),4,15,26,2,12,False,False,0.7897435897435898,0.6923076923076923,0.7952991452991451,0.7602564102564103,0.09743589743589753,0.03504273504273481
