dataset,build,leaf_id,leaf_n,leaf_depth,method,t,length,f1,precision,recall,coverage,clauses_json
Wine quality (Low),0,2,25,4,db,0.8,4,0.6,0.8,0.48,0.015,
Wine quality (Low),0,3,35,3,threshold,1.0,11,0.7142857142857143,0.5555555555555556,1.0,0.063,
Wine quality (Low),0,3,35,3,threshold,0.95,11,0.65625,0.7241379310344828,0.6,0.029,
Wine quality (Low),0,3,35,3,threshold,0.9,11,0.6037735849056604,0.8888888888888888,0.45714285714285713,0.018,
Wine quality (Low),0,3,35,3,threshold,0.8,11,0.40909090909090906,1.0,0.2571428571428571,0.009,
Wine quality (Low),0,3,35,3,db,1.0,8,0.7142857142857143,0.5555555555555556,1.0,0.063,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.441784148543998, ""sel_max"": 2.0231361765062026, ""in_predicate"": true, ""step"": 2}, {""feature"": ""volatile acidity"", ""sel_min"": 1.1664842050994375, ""sel_max"": 5.266192713256318, ""in_predicate"": true, ""step"": 0}, {""feature"": ""citric acid"", ""sel_min"": -2.08605723003579, ""sel_max"": 1.1286109547537724, ""in_predicate"": false, ""step"": null}, {""feature"": ""residual sugar"", ""sel_min"": -0.8280059854143759, ""sel_max"": 0.9122245495769175, ""in_predicate"": true, ""step"": 7}, {""feature"": ""chlorides"", ""sel_min"": -0.18148337672655804, ""sel_max"": 2.418099459105965, ""in_predicate"": true, ""step"": 3}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.4264841515016786, ""sel_max"": 2.1107406352499694, ""in_predicate"": false, ""step"": null}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7673053340205764, ""sel_max"": 1.1771984041352306, ""in_predicate"": true, ""step"": 4}, {""feature"": ""density"", ""sel_min"": -0.04447599409878576, ""sel_max"": 2.1105481360605354, ""in_predicate"": false, ""step"": null}, {""feature"": ""pH"", ""sel_min"": -1.021650708051744, ""sel_max"": 1.488107128888846, ""in_predicate"": true, ""step"": 1}, {""feature"": ""sulphates"", ""sel_min"": -0.6965118396777427, ""sel_max"": 1.4943674978544752, ""in_predicate"": true, ""step"": 5}, {""feature"": ""alcohol"", ""sel_min"": -1.3091212786818867, ""sel_max"": 0.6787044392061259, ""in_predicate"": true, ""step"": 6}]"
Wine quality (Low),0,3,35,3,db,0.95,7,0.7123287671232877,0.6842105263157895,0.7428571428571429,0.038,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.441784148543998, ""sel_max"": 1.96498417863359, ""in_predicate"": true, ""step"": 4}, {""feature"": ""volatile acidity"", ""sel_min"": 1.1807076835971246, ""sel_max"": 3.4129571325282586, ""in_predicate"": true, ""step"": 0}, {""feature"": ""citric acid"", ""sel_min"": -1.98590846692781, ""sel_max"": 0.6984264950399489, ""in_predicate"": false, ""step"": null}, {""feature"": ""residual sugar"", ""sel_min"": -0.8253005515693963, ""sel_max"": 0.5131730574424257, ""in_predicate"": true, ""step"": 6}, {""feature"": ""chlorides"", ""sel_min"": -0.16613861693171336, ""sel_max"": 1.72848790126706, ""in_predicate"": false, ""step"": null}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -1.4264841515016786, ""sel_max"": 0.9522527289011476, ""in_predicate"": false, ""step"": null}, {""feature"": ""total sulfur dioxide"", ""sel_min"": -1.7028181803706623, ""sel_max"": 0.8320558916427326, ""in_predicate"": true, ""step"": 3}, {""feature"": ""density"", ""sel_min"": -0.04447599409878576, ""sel_max"": 1.6053801749243672, ""in_predicate"": true, ""step"": 2}, {""feature"": ""pH"", ""sel_min"": -0.7676871174089451, ""sel_max"": 1.2849362563746076, ""in_predicate"": true, ""step"": 1}, {""feature"": ""sulphates"", ""sel_min"": -0.6174613362337229, ""sel_max"": 1.043314625262127, ""in_predicate"": false, ""step"": null}, {""feature"": ""alcohol"", ""sel_min"": -1.2387191178400196, ""sel_max"": 0.33911754573358793, ""in_predicate"": true, ""step"": 5}]"
Wine quality (Low),0,3,35,3,db,0.9,4,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.035,
Wine quality (Low),0,3,35,3,db,0.8,4,0.6785714285714285,0.9047619047619048,0.5428571428571428,0.021,
Wine quality (Low),0,4,31,2,threshold,1.0,11,0.9253731343283582,0.8611111111111112,1.0,0.036,
Wine quality (Low),0,4,31,2,threshold,0.95,11,0.7843137254901961,1.0,0.6451612903225806,0.02,
Wine quality (Low),0,4,31,2,threshold,0.9,11,0.6521739130434783,1.0,0.4838709677419355,0.015,
Wine quality (Low),0,4,31,2,threshold,0.8,11,0.41025641025641024,1.0,0.25806451612903225,0.008,
Wine quality (Low),0,4,31,2,db,1.0,8,0.9253731343283582,0.8611111111111112,1.0,0.036,"[{""feature"": ""fixed acidity"", ""sel_min"": -0.3713578535425633, ""sel_max"": 0.9667417514846881, ""in_predicate"": false, ""step"": null}, {""feature"": ""volatile acidity"", ""sel_min"": -1.1176391065879678, ""sel_max"": 1.2250514695016788, ""in_predicate"": true, ""step"": 4}, {""feature"": ""citric acid"", ""sel_min"": -0.7083422936974061, ""sel_max"": 1.5222437937075965, ""in_predicate"": true, ""step"": 3}, {""feature"": ""residual sugar"", ""sel_min"": 1.3419111014266196, ""sel_max"": 3.006946489844215, ""in_predicate"": true, ""step"": 0}, {""feature"": ""chlorides"", ""sel_min"": -0.5876681948253898, ""sel_max"": 0.7392022109641274, ""in_predicate"": false, ""step"": null}, {""feature"": ""free sulfur dioxide"", ""sel_min"": -0.6965806240767353, ""sel_max"": 2.1107406352499694, ""in_predicate"": true, ""step"": 5}, {""feature"": ""total sulfur dioxide"", ""sel_min"": 0.5031553797381182, ""sel_max"": 4.467592641652714, ""in_predicate"": true, ""step"": 2}, {""feature"": ""density"", ""sel_min"": 0.4942800384410352, ""sel_max"": 1.8411701197906438, ""in_predicate"": false, ""step"": null}, {""feature"": ""pH"", ""sel_min"": -2.037505070622934, ""sel_max"": -0.5436015962535363, ""in_predicate"": true, ""step"": 1}, {""feature"": ""sulphates"", ""sel_min"": -1.4476704696887888, ""sel_max"": 0.618015762841588, ""in_predicate"": true, ""step"": 6}, {""feature"": ""alcohol"", ""sel_min"": -1.4747734218392219, ""sel_max"": 0.43022622447012376, ""in_predicate"": true, ""step"": 7}]"
