dataset,build,node_id,depth,is_leaf,n_points,k,trustworthiness,continuity,mrre_false,mrre_missing,stress,cadi
Wine quality (Low),3,5,3,True,37,18,0.8141299193930773,0.80891417733523,0.8470071970968786,0.8420003549909459,0.3550402139933187,
Wine quality (Low),3,6,3,True,70,20,0.8655877034358047,0.8761482820976492,0.8830047323732821,0.8899429672571038,0.37184416291404376,
Wine quality (Low),3,7,3,True,45,20,0.8349425287356321,0.8414559386973183,0.8414583916058992,0.8635119018197205,0.34535545304165566,
Wine quality (Low),3,8,3,True,34,16,0.810952012383901,0.8436532507739939,0.7822648654649794,0.8404169986331179,0.3782766714595081,
Wine quality (Low),3,9,3,True,26,12,0.7636752136752136,0.7935897435897434,0.8305894605971176,0.8376518602158458,0.4310803558712212,
Wine quality (Low),3,10,3,True,50,20,0.7780000000000001,0.8023589743589744,0.8039807823501559,0.8267313390726825,0.4055441967026201,
Wine quality (Low),3,11,3,True,69,20,0.8653679653679653,0.8910784867306607,0.8689485459093654,0.8959184948126955,0.3831426986234225,
Wine quality (Low),3,12,3,True,77,20,0.8037983521854488,0.8374668342410277,0.8416157780438064,0.8723269656301548,0.4486774708429041,
Wine quality (Low),3,13,3,True,28,13,0.7884615384615383,0.7726648351648351,0.8401709219335151,0.8544562698641738,0.3357491996504003,
Wine quality (Low),3,14,2,True,48,20,0.8854761904761905,0.9224404761904762,0.8647879400983661,0.8999562164547209,0.5090337848571382,
Wine quality (Low),3,15,2,True,31,15,0.7919354838709678,0.7913978494623658,0.8053971043301699,0.8380479936938217,0.4144096530572908,
Wine quality (Low),3,16,1,False,246,20,0.9135523362194179,0.920251636391074,0.9178447682297838,0.9359643915227956,0.4736232326826124,0.020318201637696324
Wine quality (Low),3,17,2,False,160,20,0.8832191119691121,0.8892857142857142,0.9014700312769683,0.9099190471203628,0.39610850266816927,0.029361501353016052
Wine quality (Low),3,18,3,True,26,12,0.7329059829059829,0.7777777777777778,0.7818327367373488,0.813044915715123,0.4696585465787816,
Wine quality (Low),3,19,3,True,115,20,0.8568613326472858,0.8720246977103163,0.8911686430344369,0.8986039656270504,0.3904662703500998,
Wine quality (Low),3,20,2,False,78,20,0.8637786774628882,0.8994871794871798,0.8665634934875674,0.9021882751622757,0.6230552290067128,0.015757093904036092
Wine quality (Low),3,21,3,True,25,12,0.778974358974359,0.8092307692307692,0.8251815287799773,0.835627449457953,0.36272370585239255,
Wine quality (Low),3,22,3,True,32,15,0.7296296296296296,0.8048611111111111,0.7668641688221384,0.8144247430668262,0.486533981206215,
Wine quality (Low),4,0,0,False,1000,20,0.9467051572975761,0.9444320783909231,0.9540734721567649,0.9608003028581363,0.5351319948578525,0.023775636583094843
Wine quality (Low),4,1,1,False,754,20,0.9282061669712697,0.9207739785415356,0.941932694490409,0.9455228148710966,0.42613126696122705,0.016577812632244535
Wine quality (Low),4,2,2,False,644,20,0.9172240023893048,0.9184983826633661,0.9346475887236902,0.9424492641320371,0.43644294979934334,0.017587136108149617
Wine quality (Low),4,3,3,True,44,20,0.8569865319865321,0.8611952861952862,0.8738018282348347,0.8753948249118726,0.3542009364027122,
Wine quality (Low),4,4,3,True,40,19,0.8034688995215312,0.8155502392344498,0.8325419250168128,0.8455410715605272,0.34701960223036293,
Wine quality (Low),4,5,3,False,180,20,0.8844221479004087,0.8940914158305462,0.8989019212976146,0.9126727198638501,0.4232896152474434,0.017498903239112996
Wine quality (Low),4,6,4,True,52,20,0.773345259391771,0.7849731663685151,0.819895546895649,0.8429933018791533,0.45706711440113146,
Wine quality (Low),4,7,4,True,55,20,0.8825974025974026,0.8967717996289426,0.8767695207880087,0.8926162552284083,0.31612033752716945,
Wine quality (Low),4,8,3,True,39,19,0.7695006747638328,0.8056680161943321,0.7761968935968853,0.8318309380810592,0.44006596071919085,
Wine quality (Low),4,9,3,True,28,13,0.7881181318681317,0.7623626373626374,0.8420695240848488,0.8596964282040261,0.3934276415163774,
Wine quality (Low),4,10,3,True,33,16,0.7912210338680926,0.7932263814616757,0.8303294147376762,0.8586473936770054,0.5076553649410894,
Wine quality (Low),4,11,3,True,33,16,0.7404188948306595,0.7482174688057041,0.7830064101367602,0.7853045145896901,0.45431236987635476,
Wine quality (Low),4,12,3,False,132,20,0.8832400358262428,0.8928571428571429,0.903801852259153,0.9162372991356622,0.5332037328814887,0.0447529420168948
Wine quality (Low),4,13,4,True,26,12,0.8465811965811965,0.9316239316239316,0.8440097488337172,0.8872495785628515,0.5353633891301964,
Wine quality (Low),4,14,4,True,76,20,0.8740746096009254,0.8975274725274729,0.8744799569652119,0.8939553349380396,0.45346861379625175,
Wine quality (Low),4,15,2,True,49,20,0.8847214561500275,0.916657473800331,0.8786205509205867,0.9050178792608733,0.4025133103058246,
Wine quality (Low),4,16,2,True,31,15,0.8352150537634407,0.8682795698924731,0.8303456428604316,0.8635018960629229,0.3960626941279458,
Wine quality (Low),4,17,1,False,246,20,0.9145313413690983,0.9275941750136759,0.9219473563006536,0.9393644399672142,0.46410262213249787,0.01489772642223557
Wine quality (Low),4,18,2,True,69,20,0.8808959156785244,0.9146997929606625,0.8739811701245954,0.8937486041215155,0.4161030393296545,
Wine quality (Low),4,19,2,True,28,13,0.7661401098901098,0.8307005494505495,0.7934321700408976,0.8511850798862639,0.4251796645144085,
Wine quality (Low),4,20,2,True,105,20,0.888200703100032,0.8945030361137744,0.8902149418294134,0.9092714150693805,0.3604627376995036,
Breast cancer (Low),0,0,0,False,569,20,0.9196257259555524,0.9328677753246094,0.9299147431949385,0.947715310333011,0.543502868227079,0.01422972469688015
Breast cancer (Low),0,1,1,False,376,20,0.8814707331342181,0.892150598885365,0.8986632832241643,0.9172564322580828,0.5528794711450763,0.01827145308544336
Breast cancer (Low),0,2,2,True,29,14,0.8111658456486045,0.8417077175697866,0.819716422527116,0.8233934642871085,0.49663743438946034,
Breast cancer (Low),0,3,2,True,39,19,0.7110661268556004,0.7454790823211875,0.761375612647123,0.7977635737093135,0.5595899491946852,
Breast cancer (Low),0,4,2,True,26,12,0.782051282051282,0.8444444444444444,0.7783749771579882,0.8441128830988884,0.7711954136061987,
Breast cancer (Low),0,5,2,True,40,19,0.7813397129186603,0.8133971291866029,0.8266403038670436,0.8525471735262636,0.4240272070616219,
