build_seconds,dbcv_leaf,dbcv_status,dbcv_leaf_noisefree,tnc_mean,n_scored_nodes,scored_coverage,zero_embed_nodes,n_leaves,median_leaf_size,min_leaf_size,noise_frac,preclustering_skipped,n_rows,n_features,ari,ami,ari_depth1,exception,degenerate,dataset,arm,trial,p_hierarchical_layers,p_hclust_umap_n_components,p_hclust_min_cluster_size,p_hclust_min_samples,p_umap_n_neighbors,p_umap_min_dist,p_method,p_tsne_perplexity,p_tsne_learning_rate
30.143616914749146,-0.5948429360303513,ok,-0.6091630947906548,0.9114156874011473,3.0,1.0,0.0,2.0,3102.0,1554.0,0.04509773741726951,False,6497.0,11.0,0.9719891866027589,0.9310883376886467,0.9719891866027589,,False,Wine quality (Low),trial,10,2,2,673,217,36,0.4538323976412588,PCA,,
51.11996126174927,-0.5265757671856015,ok,-0.6774505807645632,0.9551670979770804,3.0,1.0,0.0,2.0,2792.0,1437.0,0.14052639679852238,False,6497.0,11.0,0.9691383086614883,0.925698942855382,0.9691383086614883,,False,Wine quality (Low),trial,11,2,8,543,516,6,0.2516400374040883,UMAP,,
108.2583589553833,-0.29864728977674476,ok,-0.5610612605660504,0.9401390993101235,18.0,1.0,0.0,11.0,174.0,81.0,0.41157457287979066,False,6497.0,11.0,0.35544675250814645,0.45016464941229967,0.911361877897442,,False,Wine quality (Low),trial,12,3,5,74,52,34,0.00984610510514955,UMAP,,
83.46320986747742,-0.5840741266385234,ok,-0.5918526062868018,0.9437033803704816,3.0,1.0,0.0,2.0,3146.0,1568.0,0.03155302447283362,False,6497.0,11.0,0.9730132545109507,0.9331037560597069,0.9730132545109507,,False,Wine quality (Low),trial,13,3,9,575,160,50,0.4940702161679752,UMAP,,
71.2408926486969,-0.6353904774795787,ok,-0.6353904774795787,0.9566141806433329,3.0,1.0,0.0,2.0,3248.5,1621.0,0.0,False,6497.0,11.0,0.9608649862567207,0.9098688242612973,0.9608649862567207,,False,Wine quality (Low),trial,14,2,5,845,409,34,0.2722256615844223,UMAP,,
29.238588333129883,,degenerate:1_clusters,,0.9108663756903876,1.0,1.0,0.0,1.0,6497.0,6497.0,0.0,False,6497.0,11.0,0.0,0.0,0.0,,True,Wine quality (Low),trial,15,3,7,1618,1303,24,0.18368944361000789,PCA,,
69.2621591091156,-0.6420149301772833,ok,-0.6379024929281789,0.9493118231243223,3.0,1.0,0.0,2.0,3225.0,1602.0,0.007234108049869171,False,6497.0,11.0,0.971029359989181,0.928965534139035,0.971029359989181,,False,Wine quality (Low),trial,16,2,9,415,222,41,0.39732268205604443,UMAP,,
93.68171191215515,-0.26971669900683537,ok,-0.45148977536414203,0.9375264996294906,26.0,1.0,0.0,20.0,108.0,48.0,0.4597506541480683,False,6497.0,11.0,0.19155319313572147,0.33722741645510557,0.9601758646889669,,False,Wine quality (Low),trial,17,3,4,48,10,29,0.34436534950967673,UMAP,,
90.39139223098755,-0.21728625642971477,ok,-0.3673444522045602,0.8935912349123813,82.0,1.0,0.0,75.0,42.0,22.0,0.4331229798368478,False,6497.0,11.0,0.023473869348307752,0.23307462147722582,0.8962635135735919,,False,Wine quality (Low),trial,18,3,3,22,4,29,0.3172388616175145,UMAP,,
29.232752084732056,-0.27497122372839555,ok,-0.5062616580343257,0.9030533882203997,7.0,1.0,0.0,4.0,591.0,376.0,0.46606125904263507,False,6497.0,11.0,0.586148619671004,0.6515031831082819,0.9562556777908608,,False,Wine quality (Low),trial,19,2,3,178,30,20,0.3214237152952776,PCA,,
72.91531753540039,-0.5589798174688116,ok,-0.6465337415927024,0.9522604661515638,5.0,1.0,0.0,3.0,699.0,433.0,0.07495767277204864,False,6497.0,11.0,0.9373360255248845,0.8265875039840342,0.9595661723870075,,False,Wine quality (Low),trial,20,3,4,329,127,31,0.2163728055902457,UMAP,,
81.51068639755249,-0.3676312524211041,ok,-0.5590551544792912,0.958440605493897,5.0,1.0,0.0,3.0,1597.0,729.0,0.3535477912882869,False,6497.0,11.0,0.6700767683681949,0.7363366768339077,0.9729773169216984,,False,Wine quality (Low),trial,21,3,8,459,24,40,0.44914913340945833,UMAP,,
71.16566228866577,-0.6159444486837187,ok,-0.6211203278965736,0.9506919164154649,3.0,1.0,0.0,2.0,3224.0,1607.0,0.0075419424349699865,False,6497.0,11.0,0.9677688594937949,0.9225750966587192,0.9677688594937949,,False,Wine quality (Low),trial,22,3,10,765,190,45,0.36457622574630894,UMAP,,
