build_seconds,dbcv_leaf,dbcv_status,dbcv_leaf_noisefree,tnc_mean,n_scored_nodes,scored_coverage,zero_embed_nodes,n_leaves,median_leaf_size,min_leaf_size,noise_frac,preclustering_skipped,n_rows,n_features,ari,ami,ari_depth1,exception,degenerate,dataset,arm,trial,p_hierarchical_layers,p_hclust_umap_n_components,p_hclust_min_cluster_size,p_hclust_min_samples,p_umap_n_neighbors,p_umap_min_dist,p_method,p_tsne_perplexity,p_tsne_learning_rate,p_mds_n_init,p_mds_max_iter
1.914778470993042,0.5899971075552601,ok,0.5875891567792224,0.9816222723402754,3,1.0,0,2,73.5,49,0.02,True,150,4,0.5682190844535868,0.7315999304060331,0.5682190844535868,,False,Iris (Low),trial,28,2,4,32,12,37,0.0045856818659277265,MDS,,,3.0,188.0
12.61423134803772,0.29669817888017835,ok,0.3007076137299105,0.9642383963816488,3,1.0,0,2,74.0,49,0.013333333333333334,True,150,4,0.5484194032210918,0.6919523304975089,0.5484194032210918,,False,Iris (Low),trial,29,1,4,26,6,30,0.0048387016317002545,UMAP,,,,
12.134880304336548,0.37295314565308096,ok,0.37295314565308096,0.9795658793166346,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,30,3,3,32,25,23,0.05186386327271478,PCA,,,,
12.62263011932373,0.37295314565308096,ok,0.37295314565308096,0.9820154308619576,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,31,2,3,30,7,32,0.047693158047310405,MDS,,,3.0,192.0
13.057482719421387,0.37295314565308096,ok,0.37295314565308096,0.9683645763364405,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,32,2,2,26,12,37,0.08328508678643107,UMAP,,,,
2.5616276264190674,0.37295314565308096,ok,0.37295314565308096,0.9640890095635403,3,1.0,0,2,75.0,50,0.0,True,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,33,2,4,25,8,23,0.0319767374090425,t-SNE,5.728790485397287,15.403989623539701,,
1.9140312671661377,0.29669817888017835,ok,0.3007076137299105,0.982753845516331,3,1.0,0,2,74.0,49,0.013333333333333334,True,150,4,0.5484194032210918,0.6919523304975089,0.5484194032210918,,False,Iris (Low),trial,34,2,4,23,5,14,0.09610702453081774,MDS,,,3.0,239.0
2.874988317489624,0.29669817888017835,ok,0.3007076137299105,0.7171730620502023,3,1.0,0,2,74.0,49,0.013333333333333334,True,150,4,0.5484194032210918,0.6919523304975089,0.5484194032210918,,False,Iris (Low),trial,35,2,4,23,5,17,0.07065835124045035,t-SNE,49.125393061321816,871.6009809811782,,
12.540928602218628,0.29669817888017835,ok,0.3007076137299105,0.9583770929711061,3,1.0,0,2,74.0,49,0.013333333333333334,True,150,4,0.5484194032210918,0.6919523304975089,0.5484194032210918,,False,Iris (Low),trial,36,3,4,30,3,14,0.0013339806386406527,UMAP,,,,
1.3022551536560059,0.37295314565308096,ok,0.37295314565308096,0.9795658793166346,3,1.0,0,2,75.0,50,0.0,True,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,37,1,4,23,8,23,0.10793534780451577,PCA,,,,
13.467614889144897,0.37295314565308096,ok,0.37295314565308096,0.782382703887932,3,1.0,0,2,75.0,50,0.0,False,150,4,0.5681159420289855,0.7315847607219573,0.5681159420289855,,False,Iris (Low),trial,38,1,2,27,23,41,0.0315359203531157,t-SNE,5.276216246407824,589.378917966646,,
1.8217353820800781,0.29669817888017835,ok,0.3007076137299105,0.982753845516331,3,1.0,0,2,74.0,49,0.013333333333333334,True,150,4,0.5484194032210918,0.6919523304975089,0.5484194032210918,,False,Iris (Low),trial,39,3,4,24,4,6,0.07925715217241461,MDS,,,3.0,239.0
