arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-bimodal-tight,db,severity,0.2,jaccard_admitted,0.8,80,0.05760999739231326,0.825,3.861838854010584e-11,0.65,0.670364103646003,0.6095638322266518,0.8205128205128205,0.8615384615384616,0.225,False,5.227423799752451e-11
synth-bimodal-tight,db,severity,0.2,f1_sd,0.95,80,0.01312316144721205,0.075,1.9423055932198606e-13,-0.85,0.05226548688579408,0.037933558858414256,0.8398109243697479,0.8818014705882353,0.22916666666666666,False,5.826916779659582e-13
synth-bimodal-tight,db,severity,0.2,f1_sd,0.9,80,-0.0005105271583794486,0.525,0.7771914444416689,0.05,0.03740689045487237,0.037933558858414256,0.7924528301886793,0.8320754716981134,0.20625,False,0.7771914444416689
synth-bimodal-tight,db,severity,0.2,f1_sd,0.8,80,-0.005771317649629891,0.7375,8.907710453509304e-05,0.475,0.03315774045257365,0.037933558858414256,0.8205128205128205,0.8615384615384616,0.225,False,0.00017815420907018608
synth-bimodal-tight,db,symmetric,0.05,jaccard_admitted,0.95,80,0.018926672837311476,0.6625,7.591696323268874e-05,0.325,0.7494343611734664,0.718824372269887,0.833391304347826,0.8750608695652174,0.22916666666666666,False,0.0001518339264653775
synth-bimodal-tight,db,symmetric,0.05,jaccard_admitted,0.9,80,0.06849884935931772,0.7875,7.572615622224777e-10,0.575,0.7819088939767952,0.718824372269887,0.7964601769911505,0.836283185840708,0.2125,False,2.271784686667433e-09
synth-bimodal-tight,db,symmetric,0.05,jaccard_admitted,0.8,80,-0.0011736424112244181,0.4875,0.24771992999005044,-0.025,0.726327258503987,0.718824372269887,0.7281223449447747,0.7645284621920134,0.22291666666666665,False,0.24771992999005044
synth-bimodal-tight,db,symmetric,0.05,f1_sd,0.95,80,-0.030507036342145244,1.0,7.849526548031477e-15,1.0,0.024728438718729776,0.05737074820376474,0.833391304347826,0.8750608695652174,0.22916666666666666,False,2.3548579644094432e-14
synth-bimodal-tight,db,symmetric,0.05,f1_sd,0.9,80,-0.04099170025583514,1.0,7.849526548031477e-15,1.0,0.015927366868177154,0.05737074820376474,0.7964601769911505,0.836283185840708,0.2125,False,2.3548579644094432e-14
synth-bimodal-tight,db,symmetric,0.05,f1_sd,0.8,80,-0.039789270854048264,0.975,1.0619072426644933e-14,0.95,0.016993778648526612,0.05737074820376474,0.7281223449447747,0.7645284621920134,0.22291666666666665,False,2.3548579644094432e-14
synth-bimodal-tight,db,symmetric,0.1,jaccard_admitted,0.95,80,-0.06542272263906279,0.05,2.013269994036684e-13,-0.9,0.5947152256887407,0.6682764822932263,0.833391304347826,0.8750608695652174,0.22916666666666666,False,6.039809982110052e-13
synth-bimodal-tight,db,symmetric,0.1,jaccard_admitted,0.9,80,0.0018094358401523625,0.5125,0.08509359563521411,0.025,0.6680482075432089,0.6682764822932263,0.7964601769911505,0.836283185840708,0.2125,False,0.10531966162984968
synth-bimodal-tight,db,symmetric,0.1,jaccard_admitted,0.8,80,-0.014773210897373934,0.3875,0.05265983081492484,-0.225,0.6432642066346271,0.6682764822932263,0.7281223449447747,0.7645284621920134,0.22291666666666665,False,0.10531966162984968
synth-bimodal-tight,db,symmetric,0.1,f1_sd,0.95,80,-0.007497824272774286,0.725,1.1819546001196152e-06,0.45,0.04482102125533205,0.05070071984017827,0.833391304347826,0.8750608695652174,0.22916666666666666,False,1.1819546001196152e-06
synth-bimodal-tight,db,symmetric,0.1,f1_sd,0.9,80,-0.022042004379279403,0.9875,8.792926151362765e-15,0.975,0.028762776301658865,0.05070071984017827,0.7964601769911505,0.836283185840708,0.2125,False,2.6378778454088295e-14
