arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-skew-tight,db,severity,0.2,jaccard_admitted,0.8,80,0.12390513754503962,0.975,1.0226231706471903e-14,0.95,0.7427663167315603,0.6210834580270471,0.7949992996217958,0.8678742354204605,0.24166666666666667,False,2.3548579644094432e-14
synth-skew-tight,db,severity,0.2,f1_sd,0.95,80,0.0125614593429701,0.15,3.825979799122359e-13,-0.7,0.04688522054801443,0.03598240898447698,0.8813559322033899,0.9621468926553673,0.225,False,1.1477939397367076e-12
synth-skew-tight,db,severity,0.2,f1_sd,0.9,80,0.0117738559184686,0.1875,6.507597480197542e-10,-0.625,0.046336777199582804,0.03598240898447698,0.8571428571428571,0.9357142857142857,0.2125,False,1.3015194960395084e-09
synth-skew-tight,db,severity,0.2,f1_sd,0.8,80,-0.009419944858429993,0.7875,2.8663791739381256e-07,0.575,0.026295461286361115,0.03598240898447698,0.7949992996217958,0.8678742354204605,0.24166666666666667,False,2.8663791739381256e-07
synth-skew-tight,db,symmetric,0.05,jaccard_admitted,0.95,80,-0.050170062494037604,0.225,1.6955052077732376e-06,-0.55,0.6901652626885414,0.7444189052902147,0.858323494687131,0.9370031483667847,0.23125,False,5.0865156233197125e-06
synth-skew-tight,db,symmetric,0.05,jaccard_admitted,0.9,80,0.035686105151099934,0.65,0.007129862420111564,0.3,0.7765129841626728,0.7444189052902147,0.855921855921856,0.9343813593813595,0.22083333333333333,False,0.007129862420111564
synth-skew-tight,db,symmetric,0.05,jaccard_admitted,0.8,80,0.03848836405632172,0.6625,1.9243528850137492e-05,0.325,0.7824656012626219,0.7444189052902147,0.78,0.8515,0.18541666666666667,False,3.8487057700274984e-05
synth-skew-tight,db,symmetric,0.05,f1_sd,0.95,80,-0.017801766074211432,0.8875,1.7060906379827547e-11,0.775,0.036305012955527585,0.05455025171161009,0.858323494687131,0.9370031483667847,0.23125,False,1.7060906379827547e-11
synth-skew-tight,db,symmetric,0.05,f1_sd,0.9,80,-0.03390390179731831,0.9375,6.79350831974599e-14,0.875,0.020914879626226034,0.05455025171161009,0.855921855921856,0.9343813593813595,0.22083333333333333,False,1.358701663949198e-13
synth-skew-tight,db,symmetric,0.05,f1_sd,0.8,80,-0.041094028541503125,0.9875,8.466682565197588e-15,0.975,0.014086551210004305,0.05455025171161009,0.78,0.8515,0.18541666666666667,False,2.5400047695592765e-14
