track,dataset,dr_method,cluster_method,objective,sampler,baseline,best,gain,gain_pct,best_params,tunable,dbcv_embedded,silhouette,ari,nmi,trustworthiness,continuity,stress,n_clusters,noise_frac
A,Swiss roll (Low),t-SNE,KMeans,dbcv,Random,-0.5004584389532623,-0.1753072682136933,0.32515117073956895,64.97066398153689,"{""tsne_perplexity"": 36.863266000822044, ""tsne_learning_rate"": 30.378649352844423, ""cluster_n_clusters"": 15}",True,-0.09921728864069483,0.28214119642842106,,,,,,15.0,0.0
A,Swiss roll (Low),t-SNE,GMM,dbcv,TPE,-0.7176786587605035,-0.13205784945725263,0.5856208093032509,81.5993066192983,"{""tsne_perplexity"": 24.43752583889521, ""tsne_learning_rate"": 298.3168487960615, ""gmm_n_components"": 10}",True,0.17508642948438427,0.23937283886173924,,,,,,10.0,0.0
A,Swiss roll (Low),t-SNE,GMM,dbcv,Random,-0.7176786587605035,-0.13205784945725263,0.5856208093032509,81.5993066192983,"{""tsne_perplexity"": 24.43752583889521, ""tsne_learning_rate"": 298.3168487960615, ""gmm_n_components"": 10}",True,0.17508642948438427,0.23937283886173924,,,,,,10.0,0.0
A,Swiss roll (Low),PCA,HDBSCAN,dbcv,TPE,-0.3120235823599028,0.2287965538718228,0.5408201362317255,173.32668644510272,"{""n_components"": 3, ""hclust_min_cluster_size"": 9, ""hclust_min_samples"": 4}",True,0.22879655387182277,0.38604807410262904,,,,,,15.0,0.33
A,Swiss roll (Low),PCA,HDBSCAN,dbcv,Random,-0.3120235823599028,0.2287965538718228,0.5408201362317255,173.32668644510272,"{""n_components"": 3, ""hclust_min_cluster_size"": 9, ""hclust_min_samples"": 4}",True,0.22879655387182277,0.38604807410262904,,,,,,15.0,0.33
A,Swiss roll (Low),PCA,DBSCAN,dbcv,TPE,-1.0,-1.0,0.0,0.0,"{""n_components"": 2, ""dbscan_eps"": 4.75850010140859, ""hclust_min_samples"": 19}",True,,,,,,,,,
A,Swiss roll (Low),PCA,DBSCAN,dbcv,Random,-1.0,-1.0,0.0,0.0,"{""n_components"": 2, ""dbscan_eps"": 4.75850010140859, ""hclust_min_samples"": 19}",True,,,,,,,,,
A,Swiss roll (Low),PCA,KMeans,dbcv,TPE,-0.5508368673029065,-0.5514935539773149,-0.0006566866744084354,-0.11921618057698413,"{""n_components"": 3, ""cluster_n_clusters"": 11}",True,-0.5514935539773148,0.2869349192765343,,,,,,11.0,0.0
A,Swiss roll (Low),PCA,KMeans,dbcv,Random,-0.5508368673029065,-0.5514935539773149,-0.0006566866744084354,-0.11921618057698413,"{""n_components"": 3, ""cluster_n_clusters"": 11}",True,-0.5514935539773148,0.2869349192765343,,,,,,11.0,0.0
A,Swiss roll (Low),PCA,GMM,dbcv,TPE,-0.5800931318013492,-0.4624778367776752,0.11761529502367407,20.27524350416736,"{""n_components"": 3, ""gmm_n_components"": 11}",True,-0.46247783677767507,0.1351905702565556,,,,,,11.0,0.0
A,Swiss roll (Low),PCA,GMM,dbcv,Random,-0.5800931318013492,-0.4624778367776752,0.11761529502367407,20.27524350416736,"{""n_components"": 3, ""gmm_n_components"": 11}",True,-0.46247783677767507,0.1351905702565556,,,,,,11.0,0.0
A,Swiss roll (Low),MDS,HDBSCAN,dbcv,TPE,-0.3474811553278617,0.26600629589016395,0.6134874512180257,176.55272575549512,"{""n_components"": 3, ""hclust_min_cluster_size"": 9, ""hclust_min_samples"": 4}",True,0.2663175340069915,0.3740328602896343,,,,,,15.0,0.324
A,Swiss roll (Low),MDS,HDBSCAN,dbcv,Random,-0.3474811553278617,0.2540382050605599,0.6015193603884217,173.10848406178033,"{""n_components"": 3, ""hclust_min_cluster_size"": 9, ""hclust_min_samples"": 4}",True,0.25184582315401544,0.3796843043575738,,,,,,15.0,0.326
A,Swiss roll (Low),MDS,DBSCAN,dbcv,TPE,-1.0,-1.0,0.0,0.0,"{""n_components"": 2, ""dbscan_eps"": 4.75850010140859, ""hclust_min_samples"": 19}",True,,,,,,,,,
A,Swiss roll (Low),MDS,DBSCAN,dbcv,Random,-1.0,-1.0,0.0,0.0,"{""n_components"": 2, ""dbscan_eps"": 4.75850010140859, ""hclust_min_samples"": 19}",True,,,,,,,,,
A,Swiss roll (Low),MDS,KMeans,dbcv,TPE,-0.6314476921284518,-0.5732170497584774,0.05823064236997433,9.22176818378945,"{""n_components"": 3, ""cluster_n_clusters"": 4}",True,-0.5732102720192445,0.3051153763110859,,,,,,4.0,0.0
A,Swiss roll (Low),MDS,KMeans,dbcv,Random,-0.6314476921284518,-0.5426402060677261,0.08880748606072564,14.064108107098765,"{""n_components"": 3, ""cluster_n_clusters"": 11}",True,-0.5411384310577753,0.2808380297486418,,,,,,11.0,0.0
A,Swiss roll (Low),MDS,GMM,dbcv,TPE,-0.6381472239115245,-0.47761992662593955,0.1605272972855849,25.155213604414442,"{""n_components"": 3, ""gmm_n_components"": 11}",True,-0.4777096965229485,0.18030119473422085,,,,,,11.0,0.0
A,Swiss roll (Low),MDS,GMM,dbcv,Random,-0.6381472239115245,-0.4629387049085664,0.17520851900295803,27.45581465183177,"{""n_components"": 3, ""gmm_n_components"": 11}",True,-0.4607336102317403,0.15028398098290127,,,,,,11.0,0.0
B,Wine quality (Low),UMAP,-,tnc,TPE,0.9339618743343983,0.9350382321618743,0.00107635782747606,0.11524644175043465,"{""umap_n_neighbors"": 18, ""umap_min_dist"": 0.2623782158161189}",True,,,0.8397818287239746,0.6862993006478884,0.9333744408945687,0.93670202342918,0.39854639780664897,,
B,Wine quality (Low),UMAP,-,tnc,Random,0.9339618743343983,0.933407774227902,-0.0005541001064962581,-0.0593279149527539,"{""umap_n_neighbors"": 24, ""umap_min_dist"": 0.14561457009902096}",True,,,0.9148978753021875,0.827420222605993,0.9300413205537805,0.9367742279020235,0.38156412706797443,,
B,Wine quality (Low),t-SNE,-,tnc,TPE,0.9342876464323748,0.9345202342917998,0.00023258785942492644,0.02489467353154835,"{""tsne_perplexity"": 32.0501755284444, ""tsne_learning_rate"": 710.9918520180851}",True,,,0.8729308709295962,0.7735414560970645,0.9426913738019168,0.9263490947816827,5.036099672246888,,
B,Wine quality (Low),t-SNE,-,tnc,Random,0.9342876464323748,0.9345202342917998,0.00023258785942492644,0.02489467353154835,"{""tsne_perplexity"": 32.0501755284444, ""tsne_learning_rate"": 710.9918520180851}",True,,,0.8729308709295962,0.7735414560970645,0.9426913738019168,0.9263490947816827,5.036099672246888,,
B,Wine quality (Low),PCA,-,tnc,none,0.8953124600638978,0.8953124600638978,0.0,0.0,{},False,,,,,0.8578272630457934,0.9327976570820021,0.37371138011309035,,
B,Wine quality (Low),MDS,-,tnc,TPE,0.9099609158679447,0.9093692225772098,-0.0005916932907349404,-0.06502403349605052,{},True,,,0.5547050716735747,0.48194687113532053,0.8841079872204473,0.9346304579339723,0.23206685258471055,,
B,Wine quality (Low),MDS,-,tnc,Random,0.9099609158679447,0.9108044728434505,0.0008435569755057548,0.09270255027394753,{},True,,,0.522970323805693,0.4659279931739729,0.8869320553780617,0.9346768903088392,0.2319874512955229,,
B,Swiss roll (Low),UMAP,-,tnc,TPE,0.9775808306709265,0.9836398296059637,0.006058998935037252,0.6197951867446994,"{""umap_n_neighbors"": 32, ""umap_min_dist"": 0.35403628889802274}",True,,,,,0.9923005324813631,0.9749791267305644,1.332485107524761,,
B,Swiss roll (Low),UMAP,-,tnc,Random,0.9775808306709265,0.9837273695420661,0.006146538871139584,0.628749938449707,"{""umap_n_neighbors"": 32, ""umap_min_dist"": 0.35403628889802274}",True,,,,,0.9912969116080936,0.9761578274760384,1.3002358452276757,,
B,Swiss roll (Low),t-SNE,-,tnc,TPE,0.9778576144834931,0.980987326943557,0.0031297124600638826,0.3200580957501676,"{""tsne_perplexity"": 13.182123524319527, ""tsne_learning_rate"": 191.5704647548995}",True,,,,,0.9940858359957401,0.9678888178913737,19.045946726415732,,
B,Swiss roll (Low),t-SNE,-,tnc,Random,0.9778576144834931,0.980987326943557,0.0031297124600638826,0.3200580957501676,"{""tsne_perplexity"": 13.182123524319527, ""tsne_learning_rate"": 191.5704647548995}",True,,,,,0.9940858359957401,0.9678888178913737,19.045946726415732,,
B,Swiss roll (Low),PCA,-,tnc,none,0.9219994675186369,0.9219994675186369,0.0,0.0,{},False,,,,,0.8654215122470714,0.9785774227902023,0.2746089566934906,,
B,Swiss roll (Low),MDS,-,tnc,TPE,0.9325362087326944,0.9328235356762513,0.00028732694355693145,0.0308113444675146,{},True,,,,,0.8902626198083068,0.975384451544196,0.22292529904444638,,
B,Swiss roll (Low),MDS,-,tnc,Random,0.9325362087326944,0.9325779552715654,4.174653887101254e-05,0.004476666801790527,{},True,,,,,0.889390202342918,0.9757657082002129,0.2229129602984602,,
