track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,6,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,7,-0.32735600417922006,-0.32735600417922006
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,8,-1.0,-0.32735600417922006
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,TPE,9,-1.0,-0.32735600417922006
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,0,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,1,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,2,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,3,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,4,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,5,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,6,-1.0,-1.0
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,7,-0.32735600417922006,-0.32735600417922006
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,8,-1.0,-0.32735600417922006
A,Wine quality (Low),t-SNE,DBSCAN,dbcv,Random,9,-1.0,-0.32735600417922006
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,0,-0.39860500010725697,-0.39860500010725697
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,1,-0.5865799140603232,-0.39860500010725697
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,2,-0.36309433284249626,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,3,-0.40928980364624906,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,4,-0.5170644255704493,-0.36309433284249626
A,Wine quality (Low),t-SNE,KMeans,dbcv,TPE,5,-0.46314039422698866,-0.36309433284249626
