rho,nesting,seed,region,local,global
8,nested,11,0,0.688125,0.66375
8,nested,11,1,0.6516666666666666,0.6564583333333334
8,nested,11,2,0.7602083333333334,0.7604166666666666
8,nested,12,0,0.8729166666666667,0.8802083333333334
8,nested,12,1,0.7139583333333334,0.7266666666666667
8,nested,12,2,0.8216666666666667,0.7897916666666667
8,nested,13,0,0.741875,0.7327083333333333
8,nested,13,1,0.71625,0.713125
8,nested,13,2,0.7602083333333334,0.7558333333333334
8,nested,14,0,0.696875,0.7047916666666667
8,nested,14,1,0.64125,0.6383333333333333
8,nested,14,2,0.7035416666666666,0.6677083333333333
8,nested,15,0,0.48,0.48583333333333334
8,nested,15,1,0.5285416666666667,0.5295833333333333
8,nested,15,2,0.5377083333333333,0.5295833333333333
8,nested,16,0,0.9941666666666666,0.9891666666666666
8,nested,16,1,0.9927083333333333,0.994375
8,nested,16,2,0.908125,0.9214583333333334
8,nested,17,0,0.7045833333333333,0.7129166666666666
8,nested,17,1,0.6866666666666666,0.69
8,nested,17,2,0.6583333333333333,0.666875
8,nested,18,0,0.8439583333333334,0.8633333333333333
8,nested,18,1,0.9,0.8866666666666667
8,nested,18,2,0.9889583333333334,0.9885416666666667
8,nested,19,0,0.7547916666666666,0.75375
8,nested,19,1,0.75875,0.7625
8,nested,19,2,0.7685416666666667,0.7591666666666667
8,non_nested,0,0,1.0,1.0
8,non_nested,0,1,0.8129166666666666,0.8658333333333333
8,non_nested,0,2,1.0,1.0
8,non_nested,1,0,1.0,1.0
8,non_nested,1,1,1.0,1.0
8,non_nested,1,2,1.0,1.0
8,non_nested,2,0,1.0,0.9989583333333333
8,non_nested,2,1,0.9804166666666667,0.9825
8,non_nested,2,2,1.0,1.0
8,non_nested,3,0,1.0,1.0
8,non_nested,3,1,1.0,1.0
8,non_nested,3,2,1.0,1.0
8,non_nested,4,0,1.0,1.0
8,non_nested,4,1,1.0,1.0
8,non_nested,4,2,1.0,1.0
8,non_nested,5,0,1.0,1.0
8,non_nested,5,1,1.0,1.0
8,non_nested,5,2,1.0,1.0
8,non_nested,6,0,1.0,1.0
8,non_nested,6,1,0.958125,0.9766666666666667
8,non_nested,6,2,1.0,1.0
8,non_nested,7,0,1.0,1.0
8,non_nested,7,1,1.0,1.0
