rho,nesting,seed,rotation_diversity,d_noise,min_cluster_size,dr_method,condition,h,c,v,ari,nmi,within_g_ari,coarse_ari,noise_frac,n_clusters,frag_ratio
1,nested,12,1.0,10,15,UMAP,flat_full,0.8358162805988966,0.9932156007342947,0.90774335615565,0.7095188622924657,0.90774335615565,0.6716854936172881,1.0,0.004166666666666667,9,0.75
1,nested,12,1.0,10,15,UMAP,flat_oracle_B,0.7500047902981362,0.9999999999999999,0.8571459854922603,0.6213807574929463,0.8571459854922603,0.902514109149609,0.2707658603976148,0.011111111111111112,7,0.5833333333333334
1,nested,12,1.0,10,15,UMAP,oracle_conditional,0.9971347950735001,0.9971544020872724,0.9971445984840024,0.9970107265796819,0.9971445984840024,0.9962517647498635,1.0,0.011111111111111112,12,1.0
1,nested,13,1.0,10,15,UMAP,hierarchical,0.8706069727033141,0.839976428358619,0.8550174577649401,0.7423936232299718,0.8550174577649401,0.6565455593395845,1.0,0.1763888888888889,15,1.25
1,nested,13,1.0,10,15,UMAP,flat_full,0.8548291570532323,0.9933930270405108,0.9189169259365707,0.7701535662893836,0.9189169259365708,0.705362252170788,1.0,0.0,9,0.75
1,nested,13,1.0,10,15,UMAP,flat_oracle_B,0.7349203384306071,0.9961370611685441,0.8458198859110966,0.590461876863132,0.8458198859110966,0.716117915288749,0.635770060617114,0.030555555555555555,7,0.5833333333333334
1,nested,13,1.0,10,15,UMAP,oracle_conditional,0.8574872824856162,0.996691210276888,0.9218638234815271,0.7721304556321503,0.9218638234815271,0.7078394853388813,1.0,0.001388888888888889,9,0.75
1,nested,14,1.0,10,15,UMAP,hierarchical,0.8564536438580376,0.8581248835878713,0.8572884492247587,0.748955239963533,0.8572884492247586,0.6823833812661325,1.0,0.1986111111111111,13,1.0833333333333333
1,nested,14,1.0,10,15,UMAP,flat_full,0.6684144184766945,0.9999999999999994,0.801257063082653,0.5096612866560581,0.801257063082653,0.33053221288515405,1.0,0.0,6,0.5
1,nested,14,1.0,10,15,UMAP,flat_oracle_B,0.11543129118376834,1.0,0.20697158506511887,0.031780231618637224,0.20697158506511887,0.11017740429505135,0.029628699664166223,0.0,2,0.16666666666666666
1,nested,14,1.0,10,15,UMAP,oracle_conditional,0.7309546990440257,0.9999999999999997,0.8445682598715244,0.5773072203307358,0.8445682598715244,0.45550768491134,1.0,0.006944444444444444,7,0.5833333333333334
1,nested,15,1.0,10,15,UMAP,hierarchical,0.7242477057443187,0.8146457105733299,0.766791618732092,0.5553742314630316,0.766791618732092,0.4235893029832547,1.0,0.17083333333333334,11,0.9166666666666666
1,nested,15,1.0,10,15,UMAP,flat_full,0.7182096983519991,0.9960575705641768,0.8346168888220229,0.6192993339842674,0.834616888822023,0.4940761097623421,1.0,0.0,6,0.5
1,nested,15,1.0,10,15,UMAP,flat_oracle_B,0.7181950380665313,0.996029937611366,0.834597289279739,0.6192699380487968,0.8345972892797389,0.49404966751836416,1.0,0.006944444444444444,6,0.5
1,nested,15,1.0,10,15,UMAP,oracle_conditional,0.7182096983519991,0.9960575705641768,0.8346168888220229,0.6192993339842674,0.834616888822023,0.4940761097623421,1.0,0.0,6,0.5
1,nested,16,1.0,10,15,UMAP,hierarchical,0.9946262511117434,0.9234561186439729,0.9577208068181492,0.9263827645698328,0.9577208068181491,0.9088252723315859,1.0,0.08472222222222223,16,1.3333333333333333
1,nested,16,1.0,10,15,UMAP,flat_full,0.9922096359452639,0.992255860021046,0.9922327474448073,0.990897047964492,0.9922327474448072,0.9889055057061951,1.0,0.0,12,1.0
